Facility Name,Payment Entered,Payment Received,Other Ref #,Credit Source(w Payer),Payment Total Paid (Sum),Payment Check #
Facility-A,18-12-2023,18-12-2023,ABCDEF,UMR FKA UMR WAUSAU,$4406.42,NC#
Facility-A,20-07-2023,20-07-2023,ABCDEF,UMR FKA UMR WAUSAU,$4198.37,NC#
Facility-A,25-05-2024,25-05-2024,ABCDEF,UMR FKA UMR WAUSAU,$2938.86,NC#
Facility-A,20-03-2024,20-03-2024,ABCDEF,UMR FKA UMR WAUSAU,$3217.97,NC#
Facility-A,16-04-2024,16-04-2024,ABCDEF,UMR FKA UMR WAUSAU,$2194.39,NC#
Facility-A,06-12-2023,06-12-2023,ABCDEF,UMR FKA UMR WAUSAU,$992.93,NC#
Facility-A,27-01-2024,27-01-2024,ABCDEF,UMR FKA UMR WAUSAU,$1633.15,NC#
Facility-A,27-07-2023,27-07-2023,ABCDEF,UMR FKA UMR WAUSAU,$4387.21,NC#
Facility-A,20-12-2023,20-12-2023,ABCDEF,UMR FKA UMR WAUSAU,$4726.80,NC#
Facility-A,03-04-2024,03-04-2024,ABCDEF,UMR FKA UMR WAUSAU,$4415.94,NC#
Facility-A,09-04-2024,09-04-2024,ABCDEF,UMR FKA UMR WAUSAU,$1186.63,NC#
Facility-A,21-12-2023,21-12-2023,ABCDEF,UMR FKA UMR WAUSAU,$4979.23,NC#
Facility-A,26-12-2023,26-12-2023,ABCDEF,UMR FKA UMR WAUSAU,$1358.16,NC#
Facility-A,01-09-2023,01-09-2023,ABCDEF,UMR FKA UMR WAUSAU,$1228.41,NC#
Facility-A,28-07-2023,28-07-2023,ABCDEF,UMR FKA UMR WAUSAU,$3325.27,NC#
Facility-A,17-07-2023,17-07-2023,ABCDEF,UMR FKA UMR WAUSAU,$3308.49,NC#
Facility-A,23-05-2024,23-05-2024,ABCDEF,UMR FKA UMR WAUSAU,$2651.91,NC#
Facility-A,10-05-2024,10-05-2024,ABCDEF,UMR FKA UMR WAUSAU,$2145.67,NC#
Facility-A,27-07-2023,27-07-2023,ABCDEF,UMR FKA UMR WAUSAU,$1587.24,NC#
Facility-A,20-03-2024,20-03-2024,ABCDEF,UMR FKA UMR WAUSAU,$3916.52,NC#
Facility-A,20-07-2023,20-07-2023,ABCDEF,UMR FKA UMR WAUSAU,$4580.97,NC#
Facility-A,07-01-2024,07-01-2024,ABCDEF,UMR FKA UMR WAUSAU,$3092.76,NC#
Facility-A,22-12-2023,22-12-2023,ABCDEF,UMR FKA UMR WAUSAU,$995.82,NC#
Facility-A,24-10-2023,24-10-2023,ABCDEF,UMR FKA UMR WAUSAU,$4002.26,NC#
Facility-A,22-12-2023,22-12-2023,ABCDEF,UMR FKA UMR WAUSAU,$4181.93,NC#
Facility-A,04-08-2023,04-08-2023,ABCDEF,AETNA,$4225.90,NC#
Facility-A,03-03-2024,03-03-2024,ABCDEF,AETNA,$643.78,NC#
Facility-A,22-09-2023,22-09-2023,ABCDEF,AETNA,$1065.78,NC#
Facility-A,08-10-2023,08-10-2023,ABCDEF,AETNA,$2532.13,NC#
Facility-A,13-04-2024,13-04-2024,ABCDEF,AETNA,$967.30,NC#
Facility-A,11-07-2023,11-07-2023,ABCDEF,UNITED HEALTHCARE,$895.43,NC#
Facility-A,28-04-2024,28-04-2024,ABCDEF,UNITED HEALTHCARE,$4948.36,NC#
Facility-A,05-05-2024,05-05-2024,ABCDEF,UNITED HEALTHCARE,$1436.83,NC#
Facility-A,25-03-2024,25-03-2024,ABCDEF,UNITED HEALTHCARE,$1732.09,NC#
Facility-A,28-06-2024,28-06-2024,ABCDEF,UNITED HEALTHCARE,$502.20,NC#
Facility-A,31-08-2023,31-08-2023,ABCDEF,UNITED HEALTHCARE,$4106.15,NC#
Facility-A,08-12-2023,08-12-2023,ABCDEF,UNITED HEALTHCARE,$884.31,NC#
Facility-A,12-07-2023,12-07-2023,ABCDEF,UNITED HEALTHCARE,$30.55,NC#
Facility-A,20-08-2023,20-08-2023,ABCDEF,UNITED HEALTHCARE,$2878.28,NC#
Facility-A,11-06-2024,11-06-2024,ABCDEF,UNITED HEALTHCARE,$1051.65,NC#
Facility-A,05-05-2024,05-05-2024,ABCDEF,UNITED HEALTHCARE,$2239.17,NC#
Facility-A,07-01-2024,07-01-2024,ABCDEF,UNITED HEALTHCARE,$720.55,NC#
Facility-A,12-11-2023,12-11-2023,ABCDEF,UNITED HEALTHCARE,$114.72,NC#
Facility-A,05-05-2024,05-05-2024,ABCDEF,UNITED HEALTHCARE,$2668.01,NC#
Facility-A,18-05-2024,18-05-2024,ABCDEF,UNITED HEALTHCARE,$1799.14,NC#
Facility-A,26-02-2024,26-02-2024,ABCDEF,CIGNA HEALTH PLANS,$4974.18,NC#
Facility-A,13-10-2023,13-10-2023,ABCDEF,CIGNA HEALTH PLANS,$1208.97,NC#
Facility-A,26-12-2023,26-12-2023,ABCDEF,CIGNA HEALTH PLANS,$737.43,NC#
Facility-A,09-04-2024,09-04-2024,ABCDEF,CIGNA HEALTH PLANS,$4975.77,NC#
Facility-A,27-02-2024,27-02-2024,ABCDEF,CIGNA HEALTH PLANS,$2126.92,NC#
Facility-A,09-09-2023,09-09-2023,ABCDEF,CIGNA HEALTH PLANS,$2223.82,NC#
Facility-A,27-06-2024,27-06-2024,ABCDEF,CIGNA HEALTH PLANS,$3569.53,NC#
Facility-A,23-08-2023,23-08-2023,ABCDEF,CIGNA HEALTH PLANS,$4018.50,NC#
Facility-A,26-01-2024,26-01-2024,ABCDEF,CIGNA HEALTH PLANS,$239.68,NC#
Facility-A,05-08-2023,05-08-2023,ABCDEF,CIGNA HEALTH PLANS,$1980.60,NC#
Facility-A,29-09-2023,29-09-2023,ABCDEF,CARELON BEHAVIORAL HEALTH (BEACON HEALTH),$3091.20,NC#
Facility-A,09-09-2023,09-09-2023,ABCDEF,CARELON BEHAVIORAL HEALTH (BEACON HEALTH),$2543.34,NC#
Facility-A,21-03-2024,21-03-2024,ABCDEF,CARELON BEHAVIORAL HEALTH (BEACON HEALTH),$3797.88,NC#
Facility-A,15-11-2023,15-11-2023,ABCDEF,CARELON BEHAVIORAL HEALTH (BEACON HEALTH),$2830.08,NC#
Facility-A,30-03-2024,30-03-2024,ABCDEF,CARELON BEHAVIORAL HEALTH (BEACON HEALTH),$1868.17,NC#
Facility-A,12-02-2024,12-02-2024,ABCDEF,UMR FKA UMR WAUSAU,$2325.49,NC#
Facility-A,31-12-2023,31-12-2023,ABCDEF,UMR FKA UMR WAUSAU,$4662.26,NC#
Facility-A,03-10-2023,03-10-2023,ABCDEF,UMR FKA UMR WAUSAU,$604.27,NC#
Facility-A,04-08-2024,04-08-2024,ABCDEF,UMR FKA UMR WAUSAU,$3657.53,NC#
Facility-A,20-04-2024,20-04-2024,ABCDEF,UMR FKA UMR WAUSAU,$1920.94,NC#
Facility-A,06-06-2024,06-06-2024,ABCDEF,UMR FKA UMR WAUSAU,$4263.30,NC#
Facility-A,04-04-2024,04-04-2024,ABCDEF,UMR FKA UMR WAUSAU,$149.16,NC#
Facility-A,17-11-2023,17-11-2023,ABCDEF,UMR FKA UMR WAUSAU,$1659.71,NC#
Facility-A,24-12-2023,24-12-2023,ABCDEF,UMR FKA UMR WAUSAU,$2693.59,NC#
Facility-A,09-04-2024,09-04-2024,ABCDEF,UMR FKA UMR WAUSAU,$3683.95,NC#
Facility-A,28-12-2023,28-12-2023,ABCDEF,ASR PHYSICIANS CARE,$640.27,NC#
Facility-A,27-05-2024,27-05-2024,ABCDEF,ASR PHYSICIANS CARE,$3594.81,NC#
Facility-A,15-06-2024,15-06-2024,ABCDEF,ASR PHYSICIANS CARE,$1634.70,NC#
Facility-A,30-11-2023,30-11-2023,ABCDEF,ASR PHYSICIANS CARE,$3895.25,NC#
Facility-A,17-10-2023,17-10-2023,ABCDEF,ASR PHYSICIANS CARE,$2992.34,NC#
Facility-A,21-01-2024,21-01-2024,ABCDEF,CIGNA BEHAVIORAL HEALTH,$1143.16,NC#
Facility-A,07-07-2024,07-07-2024,ABCDEF,CIGNA BEHAVIORAL HEALTH,$4550.82,NC#
Facility-A,18-01-2024,18-01-2024,ABCDEF,CIGNA BEHAVIORAL HEALTH,$1225.79,NC#
Facility-A,22-10-2023,22-10-2023,ABCDEF,CIGNA BEHAVIORAL HEALTH,$2859.95,NC#
Facility-A,10-02-2024,10-02-2024,ABCDEF,CIGNA BEHAVIORAL HEALTH,$4863.39,NC#
Facility-A,15-02-2024,15-02-2024,ABCDEF,UMR FKA UMR WAUSAU,$2036.24,NC#
Facility-A,18-01-2024,18-01-2024,ABCDEF,UMR FKA UMR WAUSAU,$4097.23,NC#
Facility-A,14-12-2023,14-12-2023,ABCDEF,UMR FKA UMR WAUSAU,$2149.44,NC#
Facility-A,30-04-2024,30-04-2024,ABCDEF,UMR FKA UMR WAUSAU,$3035.27,NC#
Facility-A,08-06-2024,08-06-2024,ABCDEF,UMR FKA UMR WAUSAU,$782.02,NC#
Facility-B,08-11-2023,08-11-2023,ABCDEF,CIGNA BEHAVIORAL HEALTH,$2958.68,NC#
Facility-B,16-06-2024,16-06-2024,ABCDEF,CIGNA BEHAVIORAL HEALTH,$1890.77,NC#
Facility-B,28-09-2023,28-09-2023,ABCDEF,CIGNA BEHAVIORAL HEALTH,$1038.48,NC#
Facility-B,30-11-2023,30-11-2023,ABCDEF,CIGNA BEHAVIORAL HEALTH,$1678.19,NC#
Facility-B,03-12-2023,03-12-2023,ABCDEF,CIGNA BEHAVIORAL HEALTH,$1189.09,NC#
Facility-B,18-05-2024,18-05-2024,ABCDEF,CIGNA HEALTH PLANS,$3403.66,NC#
Facility-B,07-06-2024,07-06-2024,ABCDEF,CIGNA HEALTH PLANS,$2736.52,NC#
Facility-B,14-08-2024,14-08-2024,ABCDEF,CIGNA HEALTH PLANS,$4261.29,NC#
Facility-B,09-11-2023,09-11-2023,ABCDEF,CIGNA HEALTH PLANS,$3913.66,NC#
Facility-B,12-08-2024,12-08-2024,ABCDEF,CIGNA HEALTH PLANS,$3910.10,NC#
Facility-B,03-06-2024,03-06-2024,ABCDEF,AETNA,$3230.68,NC#
Facility-B,28-09-2023,28-09-2023,ABCDEF,AETNA,$937.36,NC#
Facility-B,18-07-2024,18-07-2024,ABCDEF,AETNA,$1266.91,NC#
Facility-B,19-01-2024,19-01-2024,ABCDEF,AETNA,$1940.52,NC#
Facility-B,24-02-2024,24-02-2024,ABCDEF,AETNA,$4356.22,NC#
Facility-B,26-01-2024,26-01-2024,ABCDEF,CIGNA BEHAVIORAL HEALTH,$2532.19,NC#
Facility-B,14-06-2024,14-06-2024,ABCDEF,CIGNA BEHAVIORAL HEALTH,$4372.23,NC#
Facility-B,15-12-2023,15-12-2023,ABCDEF,CIGNA BEHAVIORAL HEALTH,$425.15,NC#
Facility-B,26-12-2023,26-12-2023,ABCDEF,CIGNA BEHAVIORAL HEALTH,$3531.68,NC#
Facility-B,30-07-2024,30-07-2024,ABCDEF,CIGNA BEHAVIORAL HEALTH,$3581.75,NC#
Facility-B,01-09-2024,01-09-2024,ABCDEF,CIGNA BEHAVIORAL HEALTH,$1201.32,NC#
Facility-B,31-07-2024,31-07-2024,ABCDEF,CIGNA BEHAVIORAL HEALTH,$1749.95,NC#
Facility-B,06-03-2024,06-03-2024,ABCDEF,CIGNA BEHAVIORAL HEALTH,$4977.60,NC#
Facility-B,28-05-2024,28-05-2024,ABCDEF,CIGNA BEHAVIORAL HEALTH,$4055.42,NC#
Facility-B,06-05-2024,06-05-2024,ABCDEF,CIGNA BEHAVIORAL HEALTH,$625.47,NC#
Facility-B,24-10-2023,24-10-2023,ABCDEF,CIGNA BEHAVIORAL HEALTH,$4468.80,NC#
Facility-B,21-06-2024,21-06-2024,ABCDEF,CIGNA BEHAVIORAL HEALTH,$3496.93,NC#
Facility-B,08-06-2024,08-06-2024,ABCDEF,CIGNA BEHAVIORAL HEALTH,$3963.77,NC#
Facility-B,25-10-2023,25-10-2023,ABCDEF,CIGNA BEHAVIORAL HEALTH,$2591.45,NC#
Facility-B,07-10-2023,07-10-2023,ABCDEF,CIGNA BEHAVIORAL HEALTH,$1888.47,NC#
Facility-B,16-08-2024,16-08-2024,ABCDEF,CIGNA BEHAVIORAL HEALTH,$2500.38,NC#
Facility-B,13-07-2024,13-07-2024,ABCDEF,CIGNA BEHAVIORAL HEALTH,$767.19,NC#
Facility-B,11-12-2023,11-12-2023,ABCDEF,CIGNA BEHAVIORAL HEALTH,$4924.96,NC#
Facility-B,30-01-2024,30-01-2024,ABCDEF,CIGNA BEHAVIORAL HEALTH,$1249.20,NC#
Facility-B,21-09-2024,21-09-2024,ABCDEF,CIGNA BEHAVIORAL HEALTH,$2704.38,NC#
Facility-B,28-02-2024,28-02-2024,ABCDEF,CIGNA BEHAVIORAL HEALTH,$4228.45,NC#
Facility-B,01-05-2024,01-05-2024,ABCDEF,CIGNA BEHAVIORAL HEALTH,$4226.42,NC#
Facility-B,27-02-2024,27-02-2024,ABCDEF,CIGNA BEHAVIORAL HEALTH,$1885.94,NC#
Facility-B,24-10-2023,24-10-2023,ABCDEF,CIGNA BEHAVIORAL HEALTH,$3986.94,NC#
Facility-B,03-03-2024,03-03-2024,ABCDEF,CIGNA BEHAVIORAL HEALTH,$3808.26,NC#
Facility-B,30-04-2024,30-04-2024,ABCDEF,CIGNA BEHAVIORAL HEALTH,$1699.24,NC#
Facility-B,10-06-2024,10-06-2024,ABCDEF,CIGNA BEHAVIORAL HEALTH,$4553.96,NC#
Facility-B,18-11-2023,18-11-2023,ABCDEF,CIGNA BEHAVIORAL HEALTH,$3775.47,NC#
Facility-B,21-09-2024,21-09-2024,ABCDEF,CIGNA BEHAVIORAL HEALTH,$4070.03,NC#
Facility-B,06-08-2024,06-08-2024,ABCDEF,CIGNA BEHAVIORAL HEALTH,$2196.25,NC#
Facility-B,20-06-2024,20-06-2024,ABCDEF,CIGNA BEHAVIORAL HEALTH,$2714.68,NC#
Facility-B,04-03-2024,04-03-2024,ABCDEF,CIGNA BEHAVIORAL HEALTH,$4223.98,NC#
Facility-B,16-09-2024,16-09-2024,ABCDEF,CIGNA BEHAVIORAL HEALTH,$3024.42,NC#
Facility-B,29-12-2023,29-12-2023,ABCDEF,CIGNA BEHAVIORAL HEALTH,$2952.53,NC#
Facility-B,20-12-2023,20-12-2023,ABCDEF,CIGNA BEHAVIORAL HEALTH,$2382.38,NC#
Facility-B,18-02-2024,18-02-2024,ABCDEF,AETNA,$2819.19,NC#
Facility-B,15-07-2024,15-07-2024,ABCDEF,AETNA,$569.36,NC#
Facility-B,20-05-2024,20-05-2024,ABCDEF,AETNA,$4521.39,NC#
Facility-B,11-07-2024,11-07-2024,ABCDEF,AETNA,$1612.79,NC#
Facility-B,04-12-2023,04-12-2023,ABCDEF,AETNA,$3846.34,NC#
Facility-B,28-10-2023,28-10-2023,ABCDEF,UMR FKA UMR WAUSAU,$738.17,NC#
Facility-B,19-01-2024,19-01-2024,ABCDEF,UMR FKA UMR WAUSAU,$2789.46,NC#
Facility-B,04-11-2023,04-11-2023,ABCDEF,UMR FKA UMR WAUSAU,$1706.18,NC#
Facility-B,23-01-2024,23-01-2024,ABCDEF,UMR FKA UMR WAUSAU,$4049.08,NC#
Facility-B,17-05-2024,17-05-2024,ABCDEF,UMR FKA UMR WAUSAU,$4329.34,NC#
Facility-B,03-08-2024,03-08-2024,ABCDEF,BLUE CROSS AND BLUE SHIELD OF FLORIDA,$2585.65,NC#
Facility-B,27-06-2024,27-06-2024,ABCDEF,BLUE CROSS AND BLUE SHIELD OF FLORIDA,$1854.45,NC#
Facility-B,22-07-2024,22-07-2024,ABCDEF,BLUE CROSS AND BLUE SHIELD OF FLORIDA,$1671.71,NC#
Facility-B,25-07-2024,25-07-2024,ABCDEF,BLUE CROSS AND BLUE SHIELD OF FLORIDA,$4527.41,NC#
Facility-B,08-08-2024,08-08-2024,ABCDEF,BLUE CROSS AND BLUE SHIELD OF FLORIDA,$196.20,NC#
Facility-B,12-09-2024,12-09-2024,ABCDEF,BLUE CROSS AND BLUE SHIELD OF FLORIDA,$13.75,NC#
Facility-B,11-09-2024,11-09-2024,ABCDEF,BLUE CROSS AND BLUE SHIELD OF FLORIDA,$4424.90,NC#
Facility-B,06-03-2024,06-03-2024,ABCDEF,BLUE CROSS AND BLUE SHIELD OF FLORIDA,$45.94,NC#
Facility-B,19-06-2024,19-06-2024,ABCDEF,BLUE CROSS AND BLUE SHIELD OF FLORIDA,$958.67,NC#
Facility-B,30-03-2024,30-03-2024,ABCDEF,BLUE CROSS AND BLUE SHIELD OF FLORIDA,$1200.69,NC#
Facility-B,28-07-2024,28-07-2024,ABCDEF,AETNA,$1446.13,NC#
Facility-B,23-11-2023,23-11-2023,ABCDEF,AETNA,$2850.20,NC#
Facility-B,20-08-2024,20-08-2024,ABCDEF,AETNA,$3097.55,NC#
Facility-B,02-11-2023,02-11-2023,ABCDEF,AETNA,$347.95,NC#
Facility-B,31-12-2023,31-12-2023,ABCDEF,AETNA,$3384.41,NC#
Facility-B,24-07-2023,24-07-2023,ABCDEF,BEACON HEALTH STRATEGIES,$2.74,NC#
Facility-B,16-12-2023,16-12-2023,ABCDEF,BEACON HEALTH STRATEGIES,$2121.48,NC#
Facility-B,19-07-2023,19-07-2023,ABCDEF,BEACON HEALTH STRATEGIES,$3732.95,NC#
Facility-B,05-08-2023,05-08-2023,ABCDEF,BEACON HEALTH STRATEGIES,$1376.48,NC#
Facility-B,29-01-2023,29-01-2023,ABCDEF,BEACON HEALTH STRATEGIES,$3433.45,NC#
Facility-B,24-09-2023,24-09-2023,ABCDEF,BLUE CROSS AND BLUE SHIELD OF FLORIDA,$3873.50,NC#
Facility-B,29-11-2023,29-11-2023,ABCDEF,BLUE CROSS AND BLUE SHIELD OF FLORIDA,$4933.22,NC#
Facility-B,19-04-2023,19-04-2023,ABCDEF,BLUE CROSS AND BLUE SHIELD OF FLORIDA,$2864.89,NC#
Facility-B,13-12-2023,13-12-2023,ABCDEF,BLUE CROSS AND BLUE SHIELD OF FLORIDA,$4861.55,NC#
Facility-B,11-03-2023,11-03-2023,ABCDEF,BLUE CROSS AND BLUE SHIELD OF FLORIDA,$3834.71,NC#
Facility-B,29-03-2023,29-03-2023,ABCDEF,UMR FKA UMR WAUSAU,$2399.69,NC#
Facility-B,24-03-2023,24-03-2023,ABCDEF,UMR FKA UMR WAUSAU,$1036.46,NC#
Facility-B,13-03-2023,13-03-2023,ABCDEF,UMR FKA UMR WAUSAU,$2321.05,NC#
Facility-B,05-11-2023,05-11-2023,ABCDEF,UMR FKA UMR WAUSAU,$900.22,NC#
Facility-B,27-09-2023,27-09-2023,ABCDEF,UMR FKA UMR WAUSAU,$2361.98,NC#
Facility-B,14-12-2023,14-12-2023,ABCDEF,BLUE CROSS AND BLUE SHIELD OF FLORIDA,$763.09,NC#
Facility-B,03-09-2023,03-09-2023,ABCDEF,BLUE CROSS AND BLUE SHIELD OF FLORIDA,$4128.36,NC#
Facility-B,28-02-2023,28-02-2023,ABCDEF,BLUE CROSS AND BLUE SHIELD OF FLORIDA,$199.37,NC#
Facility-B,30-08-2023,30-08-2023,ABCDEF,BLUE CROSS AND BLUE SHIELD OF FLORIDA,$2007.64,NC#
Facility-B,02-01-2024,02-01-2024,ABCDEF,BLUE CROSS AND BLUE SHIELD OF FLORIDA,$2218.12,NC#
Facility-B,01-08-2023,01-08-2023,ABCDEF,BLUE CROSS AND BLUE SHIELD OF FLORIDA,$2055.22,NC#
Facility-B,30-07-2023,30-07-2023,ABCDEF,BLUE CROSS AND BLUE SHIELD OF FLORIDA,$3136.04,NC#
Facility-B,07-06-2023,07-06-2023,ABCDEF,BLUE CROSS AND BLUE SHIELD OF FLORIDA,$4784.84,NC#
